date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:54:33	17947/17947	---M--	200	added ('OK')	image/png	date:Sun,%2020%20Jul%202025%2021:47:38%20GMT	https://circlelayer.com/assets/images/brand-3.png	C:/Meus%20Sites/Singularity/circlelayer.com/assets/images/brand-3.png	(from https://circlelayer.com/)
17:54:34	100584/100584	---M--	200	added ('OK')	image/png	date:Sun,%2020%20Jul%202025%2021:47:42%20GMT	https://circlelayer.com/assets/images/brand-4.png	C:/Meus%20Sites/Singularity/circlelayer.com/assets/images/brand-4.png	(from https://circlelayer.com/)
17:54:34	10023/10023	---M--	200	added ('OK')	image/png	date:Sun,%2020%20Jul%202025%2021:47:30%20GMT	https://circlelayer.com/assets/images/brand-1.png	C:/Meus%20Sites/Singularity/circlelayer.com/assets/images/brand-1.png	(from https://circlelayer.com/)
17:54:34	3162812/3162812	---M--	200	added ('OK')	video/webm	date:Sat,%2021%20Jun%202025%2020:55:56%20GMT	https://circlelayer.com/assets/videos/Hero.webm	C:/Meus%20Sites/Singularity/circlelayer.com/assets/videos/Hero.webm	(from https://circlelayer.com/)
17:54:34	191496/191496	---M--	200	added ('OK')	video/webm	date:Sat,%2021%20Jun%202025%2020:54:56%20GMT	https://circlelayer.com/assets/videos/Ring.webm	C:/Meus%20Sites/Singularity/circlelayer.com/assets/videos/Ring.webm	(from https://circlelayer.com/)
17:54:35	1755/1755	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2026%20Jul%202025%2020:54:34%20GMT	https://circlelayer.com/transparent	C:/Meus%20Sites/Singularity/circlelayer.com/transparent	(from https://circlelayer.com/)
17:54:35	1641905/1641905	---M--	200	added ('OK')	video/webm	date:Mon,%2030%20Jun%202025%2006:17:30%20GMT	https://circlelayer.com/assets/videos/TPS%20Gauge%202.webm	C:/Meus%20Sites/Singularity/circlelayer.com/assets/videos/TPS%20Gauge%202.webm	(from https://circlelayer.com/)
17:54:35	1447207/1447207	---M--	200	added ('OK')	video/webm	date:Sun,%2022%20Jun%202025%2018:01:42%20GMT	https://circlelayer.com/assets/videos/Box%20ORB.webm	C:/Meus%20Sites/Singularity/circlelayer.com/assets/videos/Box%20ORB.webm	(from https://circlelayer.com/)
17:54:35	161145/161145	---M--	200	added ('OK')	video/webm	date:Sat,%2021%20Jun%202025%2020:54:22%20GMT	https://circlelayer.com/assets/videos/Zero.webm	C:/Meus%20Sites/Singularity/circlelayer.com/assets/videos/Zero.webm	(from https://circlelayer.com/)
17:54:35	860335/860335	---M--	200	added ('OK')	video/webm	date:Tue,%2024%20Jun%202025%2016:22:08%20GMT	https://circlelayer.com/assets/videos/Flow.webm	C:/Meus%20Sites/Singularity/circlelayer.com/assets/videos/Flow.webm	(from https://circlelayer.com/)
17:54:35	765180/765180	---M--	200	added ('OK')	video/webm	date:Sun,%2022%20Jun%202025%2015:57:02%20GMT	https://circlelayer.com/assets/videos/Abstract.webm	C:/Meus%20Sites/Singularity/circlelayer.com/assets/videos/Abstract.webm	(from https://circlelayer.com/)
17:54:36	143859/143859	---M--	200	added ('OK')	image/jpeg	date:Thu,%2010%20Jul%202025%2002:33:20%20GMT	https://circlelayer.com/assets/images/slider/1.jpg	C:/Meus%20Sites/Singularity/circlelayer.com/assets/images/slider/1.jpg	(from https://circlelayer.com/)
17:54:36	99195/99195	---M--	200	added ('OK')	image/jpeg	date:Thu,%2010%20Jul%202025%2002:33:24%20GMT	https://circlelayer.com/assets/images/slider/2.jpg	C:/Meus%20Sites/Singularity/circlelayer.com/assets/images/slider/2.jpg	(from https://circlelayer.com/)
17:54:36	134976/134976	---M--	200	added ('OK')	image/jpeg	date:Thu,%2010%20Jul%202025%2002:33:26%20GMT	https://circlelayer.com/assets/images/slider/3.jpg	C:/Meus%20Sites/Singularity/circlelayer.com/assets/images/slider/3.jpg	(from https://circlelayer.com/)
17:54:37	9401527/9401527	---M--	200	added ('OK')	video/webm	date:Sat,%2021%20Jun%202025%2020:55:58%20GMT	https://circlelayer.com/assets/videos/InfinityCube.webm	C:/Meus%20Sites/Singularity/circlelayer.com/assets/videos/InfinityCube.webm	(from https://circlelayer.com/)
17:54:37	168229/168229	---M--	200	added ('OK')	image/jpeg	date:Thu,%2010%20Jul%202025%2002:33:28%20GMT	https://circlelayer.com/assets/images/slider/4.jpg	C:/Meus%20Sites/Singularity/circlelayer.com/assets/images/slider/4.jpg	(from https://circlelayer.com/)
17:54:37	139129/139129	---M--	200	added ('OK')	image/jpeg	date:Thu,%2010%20Jul%202025%2002:33:32%20GMT	https://circlelayer.com/assets/images/slider/5.jpg	C:/Meus%20Sites/Singularity/circlelayer.com/assets/images/slider/5.jpg	(from https://circlelayer.com/)
17:54:37	130121/130121	---M--	200	added ('OK')	image/jpeg	date:Thu,%2010%20Jul%202025%2002:33:36%20GMT	https://circlelayer.com/assets/images/slider/6.jpg	C:/Meus%20Sites/Singularity/circlelayer.com/assets/images/slider/6.jpg	(from https://circlelayer.com/)
17:54:37	17140/17140	---M--	200	added ('OK')	image/webp	date:Wed,%2028%20May%202025%2018:08:10%20GMT	https://circlelayer.com/assets/images/img-2.webp	C:/Meus%20Sites/Singularity/circlelayer.com/assets/images/img-2.webp	(from https://circlelayer.com/)
17:54:37	52780/52780	---M--	200	added ('OK')	image/png	date:Wed,%2028%20May%202025%2018:11:16%20GMT	https://circlelayer.com/assets/images/f3.png	C:/Meus%20Sites/Singularity/circlelayer.com/assets/images/f3.png	(from https://circlelayer.com/)
17:54:38	40850/40850	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Jul%202025%2000:34:04%20GMT	https://circlelayer.com/coin-distribution	C:/Meus%20Sites/Singularity/circlelayer.com/coin-distribution.html	(from https://circlelayer.com/)
17:54:38	36520/36520	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Jul%202025%2001:18:41%20GMT	https://circlelayer.com/brand-and-media-kit	C:/Meus%20Sites/Singularity/circlelayer.com/brand-and-media-kit.html	(from https://circlelayer.com/)
17:54:38	30749/30749	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Jul%202025%2022:59:52%20GMT	https://circlelayer.com/privacy-policy	C:/Meus%20Sites/Singularity/circlelayer.com/privacy-policy.html	(from https://circlelayer.com/)
17:54:39	30051/30051	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Jul%202025%2023:00:30%20GMT	https://circlelayer.com/terms-of-services	C:/Meus%20Sites/Singularity/circlelayer.com/terms-of-services.html	(from https://circlelayer.com/)
17:54:39	29514/29514	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Jul%202025%2022:57:59%20GMT	https://circlelayer.com/cookie-preferences	C:/Meus%20Sites/Singularity/circlelayer.com/cookie-preferences.html	(from https://circlelayer.com/)
17:54:39	89476/89476	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2007%20Jun%202025%2002:48:06%20GMT	https://circlelayer.com/assets/js/jquery.js	C:/Meus%20Sites/Singularity/circlelayer.com/assets/js/jquery.js	(from https://circlelayer.com/)
17:54:39	41429/41429	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2007%20Jun%202025%2002:48:58%20GMT	https://circlelayer.com/assets/js/script-1.js	C:/Meus%20Sites/Singularity/circlelayer.com/assets/js/script-1.js	(from https://circlelayer.com/)
17:54:39	325156/325156	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2007%20Jun%202025%2002:49:44%20GMT	https://circlelayer.com/assets/js/script-2.js	C:/Meus%20Sites/Singularity/circlelayer.com/assets/js/script-2.js	(from https://circlelayer.com/)
17:54:39	375352/375352	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2008%20Jun%202025%2004:09:44%20GMT	https://circlelayer.com/assets/js/script-3.js	C:/Meus%20Sites/Singularity/circlelayer.com/assets/js/script-3.js	(from https://circlelayer.com/)
17:54:40	17254/17254	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2007%20Jun%202025%2002:51:14%20GMT	https://circlelayer.com/assets/js/script-4.js	C:/Meus%20Sites/Singularity/circlelayer.com/assets/js/script-4.js	(from https://circlelayer.com/)
17:54:40	72214/72214	---MCZ	200	added ('OK')	application/javascript	etag:W/%2211a16-LSb0wGBJGsmA0JymhziNNhAlbrc%22	https://cdn.jsdelivr.net/npm/gsap@3.12.5/dist/gsap.min.js	C:/Meus%20Sites/Singularity/cdn.jsdelivr.net/npm/gsap@3.12.5/dist/gsap.min.js	(from https://circlelayer.com/)
17:54:40	43380/43380	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a974-SJvPbZxp8PKfhx4DI1EMUZeFm/U%22	https://cdn.jsdelivr.net/npm/gsap@3.12.5/dist/ScrollTrigger.min.js	C:/Meus%20Sites/Singularity/cdn.jsdelivr.net/npm/gsap@3.12.5/dist/ScrollTrigger.min.js	(from https://circlelayer.com/)
17:54:40	10610/10610	---MCZ	200	added ('OK')	application/javascript	etag:W/%222972-3IMOYL/4/fLzBNH1P7wPH8JJSsE%22	https://cdn.jsdelivr.net/npm/gsap@3.12.5/dist/TextPlugin.min.js	C:/Meus%20Sites/Singularity/cdn.jsdelivr.net/npm/gsap@3.12.5/dist/TextPlugin.min.js	(from https://circlelayer.com/)
17:54:41	160681/160681	---MCZ	200	added ('OK')	application/javascript	etag:W/%22273a9-dM71O+h208VTdIBWSSl5gX8uWPI%22	https://cdn.jsdelivr.net/npm/scrolly-video@latest/dist/scrolly-video.js	C:/Meus%20Sites/Singularity/cdn.jsdelivr.net/npm/scrolly-video@latest/dist/scrolly-video.js	(from https://circlelayer.com/)
17:54:41	14239/14239	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2029%20Apr%202025%2017:16:10%20GMT	https://unpkg.com/aos@2.3.1/dist/aos.js	C:/Meus%20Sites/Singularity/unpkg.com/aos@2.3.1/dist/aos.js	(from https://circlelayer.com/)
17:54:41	22747/22747	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2015%20Jun%202025%2005:22:50%20GMT	https://circlelayer.com/assets/js/scripts.js	C:/Meus%20Sites/Singularity/circlelayer.com/assets/js/scripts.js	(from https://circlelayer.com/)
17:54:41	10798/10798	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2003%20Jul%202025%2014:41:42%20GMT	https://circlelayer.com/assets/js/chatbot.js	C:/Meus%20Sites/Singularity/circlelayer.com/assets/js/chatbot.js	(from https://circlelayer.com/)
17:54:41	3815/3815	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2022%20Jul%202025%2022:13:28%20GMT	https://circlelayer.com/assets/js/custom.js	C:/Meus%20Sites/Singularity/circlelayer.com/assets/js/custom.js	(from https://circlelayer.com/)
17:54:42	71520/71520	---M-Z	200	added ('OK')	application/javascript	etag:%22649c91f5-6d5e%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.2/gsap.min.js	C:/Meus%20Sites/Singularity/cdnjs.cloudflare.com/ajax/libs/gsap/3.12.2/gsap.min.js	(from https://circlelayer.com/)
17:54:42	42667/42667	---M-Z	200	added ('OK')	application/javascript	etag:%22649c91f5-442b%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.2/ScrollTrigger.min.js	C:/Meus%20Sites/Singularity/cdnjs.cloudflare.com/ajax/libs/gsap/3.12.2/ScrollTrigger.min.js	(from https://circlelayer.com/)
17:54:43	730761/730761	---M--	200	added ('OK')	video/webm	date:Sun,%2022%20Jun%202025%2016:51:04%20GMT	https://circlelayer.com/assets/videos/Glass%20Ball.webm	C:/Meus%20Sites/Singularity/circlelayer.com/assets/videos/Glass%20Ball.webm	(from https://circlelayer.com/ecosystem)
17:54:43	655/655	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2026%20Jul%202025%2020:54:43%20GMT	https://circlelayer.com/cdn-cgi/l/email-protection	C:/Meus%20Sites/Singularity/circlelayer.com/cdn-cgi/l/email-protection.3e.delayed	(from https://circlelayer.com/ecosystem)
17:54:43	108352/108352	---MCZ	200	added ('OK')	font/ttf	date:Sat,%2021%20Jun%202025%2021:41:00%20GMT	https://circlelayer.com/assets/fonts/Gridular-Regular.ttf	C:/Meus%20Sites/Singularity/circlelayer.com/assets/fonts/Gridular-Regular.ttf	(from https://circlelayer.com/assets/css/custom.css)
17:54:44	1239/1239	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2026%20Jul%202025%2020:54:43%20GMT	https://circlelayer.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Meus%20Sites/Singularity/circlelayer.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://circlelayer.com/ecosystem)
17:54:44	1755/1755	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2026%20Jul%202025%2020:54:44%20GMT	https://circlelayer.com/assets/videos/Orbit%20Triangle.jpg	C:/Meus%20Sites/Singularity/circlelayer.com/assets/videos/Orbit%20Triangle.jpg	(from https://circlelayer.com/technology)
17:54:45	1759/1759	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2026%20Jul%202025%2020:54:45%20GMT	https://circlelayer.com/assets/videos/Orbit%20Triangle.mp4	C:/Meus%20Sites/Singularity/circlelayer.com/assets/videos/Orbit%20Triangle.mp4	(from https://circlelayer.com/technology)
17:54:45	1755/1755	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2026%20Jul%202025%2020:54:45%20GMT	https://circlelayer.com/assets/videos/Circle%20Layer.webp	C:/Meus%20Sites/Singularity/circlelayer.com/assets/videos/Circle%20Layer.44.delayed	(from https://circlelayer.com/technology)
17:54:46	226013/226013	---M--	200	added ('OK')	video/webm	date:Wed,%2025%20Jun%202025%2011:09:08%20GMT	https://circlelayer.com/assets/videos/Cube%20glass.webm	C:/Meus%20Sites/Singularity/circlelayer.com/assets/videos/Cube%20glass.webm	(from https://circlelayer.com/technology)
17:54:46	3627131/3627131	---M--	200	added ('OK')	video/webm	date:Sat,%2021%20Jun%202025%2020:55:28%20GMT	https://circlelayer.com/assets/videos/Orbit%20Triangle.webm	C:/Meus%20Sites/Singularity/circlelayer.com/assets/videos/Orbit%20Triangle.webm	(from https://circlelayer.com/technology)
17:54:46	1755/1755	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2026%20Jul%202025%2020:54:46%20GMT	https://circlelayer.com/assets/videos/Circle%20Layer.mp4	C:/Meus%20Sites/Singularity/circlelayer.com/assets/videos/Circle%20Layer.46.delayed	(from https://circlelayer.com/technology)
17:54:46	1755/1755	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2026%20Jul%202025%2020:54:46%20GMT	https://circlelayer.com/assets/images/Circle%20Layer.webp	C:/Meus%20Sites/Singularity/circlelayer.com/assets/images/Circle%20Layer.webp	(from https://circlelayer.com/technology)
17:54:47	118401/118401	---MCZ	200	added ('OK')	text/css	date:Sat,%2021%20Jun%202025%2004:00:40%20GMT	https://circlelayer.com/assets/css/style1-dev.css	C:/Meus%20Sites/Singularity/circlelayer.com/assets/css/style1-dev.css	(from https://circlelayer.com/developers)
17:54:47	503617/503617	---M--	200	added ('OK')	video/webm	date:Sat,%2021%20Jun%202025%2020:56:26%20GMT	https://circlelayer.com/assets/videos/Circle%20Layer.webm	C:/Meus%20Sites/Singularity/circlelayer.com/assets/videos/Circle%20Layer.webm	(from https://circlelayer.com/technology)
17:54:47	14012/14012	---MCZ	200	added ('OK')	text/javascript	etag:W/%22b0c42beeac7f1cfd2482db45d8f218a2%22	https://cdn.jetboost.io/jetboost.js	C:/Meus%20Sites/Singularity/cdn.jetboost.io/jetboost.js	(from https://circlelayer.com/developers)
17:54:47	88751/88751	---M--	200	added ('OK')	image/png	date:Tue,%2001%20Jul%202025%2015:56:42%20GMT	https://circlelayer.com/assets/images/group-1.png	C:/Meus%20Sites/Singularity/circlelayer.com/assets/images/group-1.png	(from https://circlelayer.com/developers)
17:54:47	1755/1755	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2026%20Jul%202025%2020:54:47%20GMT	https://circlelayer.com/assets/videos/Cube%20glass.mp4	C:/Meus%20Sites/Singularity/circlelayer.com/assets/videos/Cube%20glass.mp4	(from https://circlelayer.com/developers)
17:54:49	1126884/1126884	---M--	200	added ('OK')	video/webm	date:Sat,%2021%20Jun%202025%2020:54:26%20GMT	https://circlelayer.com/assets/videos/TPS%20Gauge.webm	C:/Meus%20Sites/Singularity/circlelayer.com/assets/videos/TPS%20Gauge.webm	(from https://circlelayer.com/developers)
17:54:49	1755/1755	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2026%20Jul%202025%2020:54:49%20GMT	https://circlelayer.com/assets/videos/Unchained.mp4	C:/Meus%20Sites/Singularity/circlelayer.com/assets/videos/Unchained.4f.delayed	(from https://circlelayer.com/developers)
17:54:49	3241204/3241204	---M--	200	added ('OK')	video/webm	date:Sat,%2021%20Jun%202025%2020:55:38%20GMT	https://circlelayer.com/assets/videos/ORB.webm	C:/Meus%20Sites/Singularity/circlelayer.com/assets/videos/ORB.webm	(from https://circlelayer.com/developers)
17:54:49	1134548/1134548	---M--	200	added ('OK')	video/webm	date:Thu,%2010%20Jul%202025%2022:01:22%20GMT	https://circlelayer.com/assets/videos/Unchained.webm	C:/Meus%20Sites/Singularity/circlelayer.com/assets/videos/Unchained.webm	(from https://circlelayer.com/developers)
17:54:50	367274/367274	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2009%20Jun%202025%2005:13:10%20GMT	https://circlelayer.com/assets/js/script-6.js	C:/Meus%20Sites/Singularity/circlelayer.com/assets/js/script-6.js	(from https://circlelayer.com/developers)
17:54:50	163194/163194	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2009%20Jun%202025%2005:14:20%20GMT	https://circlelayer.com/assets/js/script-5.js	C:/Meus%20Sites/Singularity/circlelayer.com/assets/js/script-5.js	(from https://circlelayer.com/developers)
17:54:50	10839/10839	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2009%20Jun%202025%2005:15:24%20GMT	https://circlelayer.com/assets/js/script-7.js	C:/Meus%20Sites/Singularity/circlelayer.com/assets/js/script-7.js	(from https://circlelayer.com/developers)
17:54:50	123408/123408	---MCZ	200	added ('OK')	text/css	date:Wed,%2018%20Jun%202025%2019:12:04%20GMT	https://circlelayer.com/assets/css/hackathon.css	C:/Meus%20Sites/Singularity/circlelayer.com/assets/css/hackathon.css	(from https://circlelayer.com/hackathon)
17:54:51	1755/1755	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2026%20Jul%202025%2020:54:50%20GMT	https://circlelayer.com/assets/videos/TPS%20Flow.jpg	C:/Meus%20Sites/Singularity/circlelayer.com/assets/videos/TPS%20Flow.jpg	(from https://circlelayer.com/hackathon)
17:54:51	1755/1755	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2026%20Jul%202025%2020:54:51%20GMT	https://circlelayer.com/assets/videos/TPS%20Flow.mp4	C:/Meus%20Sites/Singularity/circlelayer.com/assets/videos/TPS%20Flow.mp4	(from https://circlelayer.com/hackathon)
17:54:52	429251/429251	---M--	200	added ('OK')	video/webm	date:Mon,%2014%20Jul%202025%2016:53:38%20GMT	https://circlelayer.com/assets/videos/Pie%20Chart.webm	C:/Meus%20Sites/Singularity/circlelayer.com/assets/videos/Pie%20Chart.webm	(from https://circlelayer.com/coin-distribution)
17:54:52	990854/990854	---M--	200	added ('OK')	video/webm	date:Tue,%2024%20Jun%202025%2016:21:48%20GMT	https://circlelayer.com/assets/videos/TPS%20Flow.webm	C:/Meus%20Sites/Singularity/circlelayer.com/assets/videos/TPS%20Flow.webm	(from https://circlelayer.com/hackathon)
17:54:52	42416/42416	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Jun%202025%2003:12:40%20GMT	https://circlelayer.com/assets/images/logo-dark-1.png	C:/Meus%20Sites/Singularity/circlelayer.com/assets/images/logo-dark-1.png	(from https://circlelayer.com/brand-and-media-kit)
17:54:53	74806/74806	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Jul%202025%2023:00:44%20GMT	https://circlelayer.com/testnet	C:/Meus%20Sites/Singularity/circlelayer.com/testnet.html	(from https://circlelayer.com/terms-of-services)
17:54:53	77125/77125	---M--	200	added ('OK')	image/png	etag:%22097d79885ea5030af6ab6c2ad559ea81%22	https://cdn.prod.website-files.com/6781b1ebb03489d8034a9c8b/6781b646baef59770a8a0042_Title%20BG.png	C:/Meus%20Sites/Singularity/cdn.prod.website-files.com/6781b1ebb03489d8034a9c8b/6781b646baef59770a8a0042_Title%20BG.png	(from https://circlelayer.com/assets/css/hackathon.css)
17:54:53	1649038/1649038	---M--	200	added ('OK')	application/zip	date:Mon,%2021%20Jul%202025%2000:20:19%20GMT	https://circlelayer.com/assets/Circle-Layer-Collection.zip	C:/Meus%20Sites/Singularity/circlelayer.com/assets/Circle-Layer-Collection.zip	(from https://circlelayer.com/brand-and-media-kit)
17:54:53	107696/107696	---MCZ	200	added ('OK')	text/css	date:Mon,%2009%20Jun%202025%2006:07:58%20GMT	https://circlelayer.com/assets/css/tailwind-3.3.3.css	C:/Meus%20Sites/Singularity/circlelayer.com/assets/css/tailwind-3.3.3.css	(from https://circlelayer.com/testnet)
17:54:53	27362/27362	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Jun%202025%2003:13:30%20GMT	https://circlelayer.com/assets/images/favicon-192x192.png	C:/Meus%20Sites/Singularity/circlelayer.com/assets/images/favicon-192x192.png	(from https://circlelayer.com/testnet)
